date,dow_open,13_wk,5_yr,10_yr,30_yr,fed_rate,unemployment,gold_price,cpi,inflation,gdp,median_house,housing_starts,earnings_chg,gas_price,cars_sold,recession,recession2
Jan-63,649.3,2.88,3.53,3.82,,3,5.7,35.06,30.4,0,3.6,17200,1244,87,,,N,0
Feb-63,652.1,2.94,3.66,3.88,,3,5.9,35.08,30.4,0,3.6,17700,1456,115,,,N,0
Mar-63,682.9,2.9,3.67,3.93,,3,5.7,35.1,30.5,0.33,3.6,18200,1534,90,,,N,0
Apr-63,662.9,2.9,3.7,3.95,,3,5.7,35.1,30.5,0,3.8,18200,1689,260,,,N,0
May-63,682.5,2.9,3.72,3.94,,3,5.9,35.08,30.5,0,3.8,17500,1641,36,,,N,0
Jun-63,717.7,3.03,3.81,3.98,,3,5.6,35.08,30.6,0.33,3.8,18000,1588,43,,,N,0
Jul-63,727,3,3.82,4.01,,3,5.6,35.09,30.7,0.33,4.8,18400,1614,135,,,N,0
Aug-63,706.9,3.25,3.87,3.99,,3.5,5.4,35.1,30.7,0,4.8,17800,1639,116,,,N,0
Sep-63,695.4,3.38,3.94,4.03,,3.5,5.5,35.08,30.7,0,4.8,17900,1763,168,,,N,0
Oct-63,729.3,3.37,3.93,4.07,,3.5,5.5,35.08,30.8,0.33,5.2,17600,1779,205,,,N,0
Nov-63,732.8,3.49,4.01,4.15,,3.5,5.7,35.08,30.8,0,5.2,18400,1622,-28,,,N,0
Dec-63,755.2,3.53,4.01,4.09,,3.5,5.5,35.08,30.9,0.32,5.2,18700,1491,106,,,N,0
Jan-64,750.5,3.53,4.07,4.14,,3.25,5.6,35.08,30.9,0,6.2,17800,1603,126,,,N,0
Feb-64,763,3.5,4.02,4.15,,3.5,5.4,35.08,30.9,0,6.2,18000,1820,266,,,N,0
Mar-64,785.3,3.58,4.1,4.17,,3.5,5.4,35.08,30.9,0,6.2,19000,1517,144,,,N,0
Apr-64,800.1,3.53,4.17,4.23,,3.5,5.3,35.08,30.9,0,6.2,18800,1448,25,,,N,0
May-64,813.3,3.46,4.12,4.22,,3.5,5.1,35.08,30.9,0,6.2,19300,1467,167,,,N,0
Jun-64,810.8,3.47,4.03,4.19,,3.5,5.2,35.08,31,0.32,6.2,18800,1550,130,,,N,0
Jul-64,820.6,3.48,4.01,4.15,,3.5,4.9,35.08,31.1,0.32,5.5,19100,1562,193,,,N,0
Aug-64,831.5,3.47,4.04,4.19,,3.5,5,35.08,31,-0.32,5.5,18900,1569,207,,,N,0
Sep-64,841.1,3.5,4.08,4.21,,3.5,5.1,35.09,31.1,0.32,5.5,18900,1455,284,,,N,0
Oct-64,838.5,3.55,4.05,4.18,,3.5,5.1,35.11,31.1,0,5.2,18900,1524,-110,,,N,0
Nov-64,875.4,3.55,4.04,4.15,,3.5,4.8,35.1,31.2,0.32,5.2,19300,1486,425,,,N,0
Dec-64,873.1,3.85,4.13,4.2,,4,5,35.12,31.2,0,5.2,21000,1484,203,,,N,0
Jan-65,875.4,3.81,4.12,4.2,,4,4.9,35.13,31.2,0,5.5,20700,1361,161,,,N,0
Feb-65,874.1,3.88,4.12,4.2,,4,5.1,35.14,31.2,0,5.5,20400,1433,218,,,N,0
Mar-65,902.9,3.97,4.16,4.22,,4,4.7,35.16,31.3,0.32,5.5,19800,1423,203,,,N,0
Apr-65,903.5,3.93,4.14,4.2,,4.13,4.8,35.14,31.4,0.32,5.7,19900,1438,256,,,N,0
May-65,889.1,3.9,4.16,4.21,,4.13,4.6,35.1,31.4,0,5.7,19600,1478,232,,,N,0
Jun-65,922.3,3.88,4.15,4.23,,4.13,4.6,35.1,31.6,0.64,5.7,19800,1488,199,,,N,0
Jul-65,918,3.82,4.15,4.2,,4.13,4.4,35.12,31.6,0,6.3,21000,1529,275,,,N,0
Aug-65,868,3.82,4.18,4.22,,4.13,4.4,35.15,31.6,0,6.3,20200,1432,263,,,N,0
Sep-65,881.7,3.89,4.23,4.28,,3.75,4.3,35.14,31.6,0,6.3,19600,1482,262,,,N,0
Oct-65,893.1,4,4.34,4.36,,4.13,4.2,35.11,31.7,0.32,8.5,19900,1452,229,,,N,0
Nov-65,930.6,4.07,4.43,4.43,,4.13,4.1,35.11,31.7,0,8.5,20600,1460,277,,,N,0
Dec-65,960.8,4.13,4.52,4.52,,4.13,4,35.13,31.8,0.32,8.5,20300,1656,326,,,N,0
Jan-66,946.7,4.51,4.88,4.63,,4.63,4,35.15,31.8,0,8.5,21200,1370,207,,,N,0
Feb-66,969.3,4.66,4.94,4.69,,4.25,3.8,35.17,32,0.63,8.5,20900,1378,267,,,N,0
Mar-66,983.5,4.65,5.02,5.01,,4.63,3.8,35.15,32.1,0.31,8.5,20800,1394,396,,,N,0
Apr-66,951.9,4.5,4.81,4.7,,4.75,3.8,35.13,32.3,0.62,7.5,23000,1352,245,,,N,0
