date,recession,gdp_change,median_house,gold_price,dow_open,fed_rate,InvYield_10yr_5yr,unemp_rate,earnings_chg,cpi,inflation,housing_starts
1/1/63,0,3.6,17200,35.06,649.3,3,0.29,5.7,87,30.4,0,1244
2/1/63,0,3.6,17700,35.08,652.1,3,0.22,5.9,115,30.4,0,1456
3/1/63,0,3.6,18200,35.1,682.9,3,0.26,5.7,90,30.5,0.33,1534
4/1/63,0,3.8,18200,35.1,662.9,3,0.25,5.7,260,30.5,0,1689
5/1/63,0,3.8,17500,35.08,682.5,3,0.22,5.9,36,30.5,0,1641
6/1/63,0,3.8,18000,35.08,717.7,3,0.17,5.6,43,30.6,0.33,1588
7/1/63,0,4.8,18400,35.09,727,3,0.19,5.6,135,30.7,0.33,1614
8/1/63,0,4.8,17800,35.1,706.9,3.5,0.12,5.4,116,30.7,0,1639
9/1/63,0,4.8,17900,35.08,695.4,3.5,0.09,5.5,168,30.7,0,1763
10/1/63,0,5.2,17600,35.08,729.3,3.5,0.14,5.5,205,30.8,0.33,1779
11/1/63,0,5.2,18400,35.08,732.8,3.5,0.14,5.7,-28,30.8,0,1622
12/1/63,0,5.2,18700,35.08,755.2,3.5,0.08,5.5,106,30.9,0.32,1491
1/1/64,0,6.2,17800,35.08,750.5,3.25,0.07,5.6,126,30.9,0,1603
2/1/64,0,6.2,18000,35.08,763,3.5,0.13,5.4,266,30.9,0,1820
3/1/64,0,6.2,19000,35.08,785.3,3.5,0.07,5.4,144,30.9,0,1517
4/1/64,0,6.2,18800,35.08,800.1,3.5,0.06,5.3,25,30.9,0,1448
5/1/64,0,6.2,19300,35.08,813.3,3.5,0.1,5.1,167,30.9,0,1467
6/1/64,0,6.2,18800,35.08,810.8,3.5,0.16,5.2,130,31,0.32,1550
7/1/64,0,5.5,19100,35.08,820.6,3.5,0.14,4.9,193,31.1,0.32,1562
8/1/64,0,5.5,18900,35.08,831.5,3.5,0.15,5,207,31,-0.32,1569
9/1/64,0,5.5,18900,35.09,841.1,3.5,0.13,5.1,284,31.1,0.32,1455
10/1/64,0,5.2,18900,35.11,838.5,3.5,0.13,5.1,-110,31.1,0,1524
11/1/64,0,5.2,19300,35.1,875.4,3.5,0.11,4.8,425,31.2,0.32,1486
12/1/64,0,5.2,21000,35.12,873.1,4,0.07,5,203,31.2,0,1484
1/1/65,0,5.5,20700,35.13,875.4,4,0.08,4.9,161,31.2,0,1361
2/1/65,0,5.5,20400,35.14,874.1,4,0.08,5.1,218,31.2,0,1433
3/1/65,0,5.5,19800,35.16,902.9,4,0.06,4.7,203,31.3,0.32,1423
4/1/65,0,5.7,19900,35.14,903.5,4.13,0.06,4.8,256,31.4,0.32,1438
5/1/65,0,5.7,19600,35.1,889.1,4.13,0.05,4.6,232,31.4,0,1478
6/1/65,0,5.7,19800,35.1,922.3,4.13,0.08,4.6,199,31.6,0.64,1488
7/1/65,0,6.3,21000,35.12,918,4.13,0.05,4.4,275,31.6,0,1529
8/1/65,0,6.3,20200,35.15,868,4.13,0.04,4.4,263,31.6,0,1432
9/1/65,0,6.3,19600,35.14,881.7,3.75,0.05,4.3,262,31.6,0,1482
10/1/65,0,8.5,19900,35.11,893.1,4.13,0.02,4.2,229,31.7,0.32,1452
11/1/65,0,8.5,20600,35.11,930.6,4.13,0,4.1,277,31.7,0,1460
12/1/65,0,8.5,20300,35.13,960.8,4.13,0,4,326,31.8,0.32,1656
1/1/66,0,8.5,21200,35.15,946.7,4.63,-0.25,4,207,31.8,0,1370
2/1/66,0,8.5,20900,35.17,969.3,4.25,-0.25,3.8,267,32,0.63,1378
3/1/66,0,8.5,20800,35.15,983.5,4.63,-0.01,3.8,396,32.1,0.31,1394
4/1/66,0,7.5,23000,35.13,951.9,4.75,-0.11,3.8,245,32.3,0.62,1352
5/1/66,0,7.5,22300,35.12,924.8,4.63,-0.06,3.9,275,32.3,0,1265
6/1/66,0,7.5,21200,35.15,933.7,4.25,-0.23,3.8,399,32.4,0.31,1194
7/1/66,0,6,21800,35.18,884.1,5.5,-0.12,3.8,190,32.5,0.31,1086
8/1/66,0,6,20700,35.18,870.1,5.63,-0.21,3.8,206,32.7,0.62,1119
9/1/66,0,6,22200,35.19,846.6,5.88,-0.33,3.7,136,32.7,0,1046
10/1/66,0,4.5,20800,35.16,788.4,5.75,-0.29,3.7,211,32.9,0.61,843
11/1/66,0,4.5,21700,35.16,774.2,6,-0.27,3.6,165,32.9,0,961
12/1/66,0,4.5,21700,35.18,807.1,5.5,-0.16,3.8,180,32.9,0,990
1/1/67,0,2.9,22200,35.18,791.6,5,-0.15,3.9,208,32.9,0,1067
2/1/67,0,2.9,22400,35.17,785.7,4,-0.16,3.8,22,32.9,0,1123
3/1/67,0,2.9,22400,35.16,849.9,3.75,-0.04,3.8,101,33,0.3,1056
4/1/67,0,2.6,22300,35.17,839.4,4.5,0.08,3.8,-64,33.1,0.3,1091
5/1/67,0,2.6,23700,35.18,866,4,0.07,3.8,154,33.2,0.3,1304
6/1/67,0,2.6,23900,35.19,897.1,4,0.09,3.9,130,33.3,0.3,1248
7/1/67,0,2.7,23300,35.19,852.6,3.5,-0.14,3.8,138,33.4,0.3,1364
8/1/67,0,2.7,21700,35.19,860.3,3.75,0,3.8,255,33.5,0.3,1407
9/1/67,0,2.7,22800,35.19,904.2,4,-0.07,3.8,21,33.6,0.3,1421
10/1/67,0,2.7,22300,35.19,901.3,3.75,-0.08,4,61,33.7,0.3,1491
11/1/67,0,2.7,23100,35.2,926.7,4.13,-0.06,3.9,478,33.8,0.3,1538
12/1/67,0,2.7,22200,35.19,879.7,4.5,-0.04,3.8,197,33.9,0.3,1308
1/1/68,0,3.8,23400,35.18,875.8,4.5,-0.05,3.7,-96,34.1,0.59,1380
2/1/68,0,3.8,23500,35.2,905.1,4.75,-0.02,3.8,411,34.2,0.29,1520
3/1/68,0,3.8,24600,35.2,855.5,4.75,-0.01,3.7,80,34.3,0.29,1466
4/1/68,0,5.5,24500,37.878,840.5,5.5,0,3.5,261,34.4,0.29,1554
5/1/68,0,5.5,25300,40.691,849.2,6.38,-0.19,3.5,96,34.5,0.29,1408
6/1/68,0,5.5,25400,41.111,912.2,6.13,-0.12,3.7,253,34.7,0.58,1405
7/1/68,0,5.3,24600,39.53,899,6.13,-0.15,3.7,221,34.9,0.58,1512
8/1/68,0,5.3,25000,39.17,897.8,6,-0.09,3.5,204,35,0.29,1495
9/1/68,0,5.3,25000,40.203,883,5.75,-0.05,3.4,154,35.1,0.29,1556
10/1/68,0,5,25600,39.21,896,6,0.01,3.4,237,35.3,0.57,1569
11/1/68,0,5,24600,39.795,935.8,6,0.05,3.4,263,35.4,0.28,1630
12/1/68,0,5,26500,41.113,952.4,6,0.04,3.4,264,35.5,0.28,1548
1/1/69,0,4.5,24600,42.291,985.1,4,-0.25,3.4,191,35.6,0.28,1769
2/1/69,0,4.5,26000,42.616,943.8,6.38,-0.1,3.4,260,35.8,0.56,1705
3/1/69,0,4.5,26200,43.171,946.1,7,-0.2,3.4,206,36.1,0.84,1561
4/1/69,0,3.1,25900,43.295,905.2,6.63,-0.07,3.4,167,36.3,0.55,1524
5/1/69,0,3.1,26900,43.461,935.5,8.25,-0.21,3.4,256,36.4,0.28,1583
6/1/69,0,3.1,25200,41.442,950.2,9.38,-0.13,3.5,308,36.6,0.55,1528
7/1/69,0,3,26800,41.755,937.6,8.75,-0.27,3.5,93,36.8,0.55,1368
8/1/69,0,3,24900,41.128,873.2,9.5,-0.32,3.5,279,37,0.54,1358
9/1/69,0,3,26000,40.865,815.6,9.75,-0.3,3.7,-94,37.1,0.27,1507
10/1/69,0,2,24400,40.476,836.7,8,-0.52,3.7,207,37.3,0.54,1381
11/1/69,0,2,24900,37.452,813.1,9,-0.39,3.5,-35,37.5,0.54,1229
12/1/69,1,2,25100,35.189,856,9.63,-0.27,3.5,155,37.7,0.53,1327
1/1/70,1,0.3,23600,34.946,812.3,5,-0.33,3.9,-65,37.8,0.27,1085
2/1/70,1,0.3,24100,34.994,800.4,9.38,-0.53,4.2,129,38,0.53,1305
3/1/70,1,0.3,24100,35.089,744.1,8.5,-0.48,4.4,146,38.2,0.53,1319
4/1/70,1,0.2,24200,35.623,777.6,8,-0.14,4.6,-103,38.5,0.79,1264
5/1/70,1,0.2,25700,35.958,785.6,8.63,-0.13,4.8,-224,38.6,0.26,1290
6/1/70,1,0.2,23800,35.437,736.1,7.75,0.11,4.9,-95,38.8,0.52,1385
7/1/70,1,0.4,22900,35.329,700.4,7,-0.05,5,24,39,0.52,1517
8/1/70,1,0.4,23500,35.377,683.5,6.75,-0.21,5.1,-116,39,0,1399
9/1/70,1,0.4,22600,36.196,734.1,6.75,0.04,5.4,7,39.2,0.51,1534
10/1/70,1,-0.2,22100,37.553,764.6,6.5,0.1,5.5,-423,39.4,0.51,1580
11/1/70,1,-0.2,23500,37.455,760.7,6.13,0.29,5.9,-112,39.6,0.51,1647
12/1/70,0,-0.2,22300,37.434,755.6,5.63,0.48,6.1,383,39.8,0.51,1893
1/1/71,0,2.7,23900,37.868,794.1,3,0.48,5.9,73,39.8,0,1828
2/1/71,0,2.7,24500,38.716,838.9,4.38,0.3,5.9,-58,39.9,0.25,1741
3/1/71,0,2.7,24300,38.873,868.5,3.63,0.77,6,53,40,0.25,1910
4/1/71,0,3.1,25800,39.001,878.8,4,0.42,5.9,176,40.1,0.25,1986
5/1/71,0,3.1,25500,40.493,904.4,4.25,0.06,5.9,211,40.3,0.5,2049
6/1/71,0,3.1,26100,40.105,941.8,4.75,0.09,5.9,7,40.6,0.74,2026
7/1/71,0,3,25200,40.929,907.8,5.25,-0.14,6,61,40.7,0.25,2083
8/1/71,0,3,25300,42.722,891.1,5.5,-0.08,6.1,58,40.8,0.25,2158
9/1/71,0,3,25400,41.976,858.4,5.75,0.13,6,241,40.8,0,2041
10/1/71,0,4.4,25600,42.473,898.1,5.38,-0.04,5.8,28,40.9,0.25,2128
11/1/71,0,4.4,25700,42.842,887.2,5.13,0.05,6,205,40.9,0,2182
12/1/71,0,4.4,25300,43.455,839,3.75,0.12,6,262,41.1,0.49,2295
1/1/72,0,3.5,24700,45.64,831.3,3,0.39,5.8,332,41.1,0,2494
2/1/72,0,3.5,26500,48.237,890.2,3.25,0.31,5.7,207,41.3,0.49,2390
3/1/72,0,3.5,27400,48.288,902.2,3.25,0.38,5.8,296,41.4,0.24,2334
4/1/72,0,5.3,26700,49.026,928.1,4,-0.01,5.7,218,41.5,0.24,2249
5/1/72,0,5.3,27000,54.5,940.7,4.25,0.29,5.7,307,41.6,0.24,2221
6/1/72,0,5.3,26800,62.17,954.2,4.44,0.25,5.7,289,41.7,0.24,2254
7/1/72,0,5.4,27700,65.558,960.7,4.5,0.14,5.6,-49,41.9,0.48,2252
8/1/72,0,5.4,28100,66.917,929,4.63,0.16,5.6,432,42,0.24,2382
9/1/72,0,5.4,28000,65.589,924.7,5.19,0.23,5.5,123,42.1,0.24,2481
10/1/72,0,6.9,28900,64.824,963.7,4.88,0.37,5.6,410,42.3,0.48,2485
11/1/72,0,6.9,29100,62.726,953.3,5.5,0.19,5.3,299,42.4,0.24,2421
12/1/72,0,6.9,29700,63.779,955.5,5.25,0.17,5.2,295,42.5,0.24,2366
1/1/73,0,7.6,29900,65.127,1018.2,5.5,0.14,4.9,349,42.6,0.24,2481
2/1/73,0,7.6,29700,73.971,1022.9,6.44,0.04,5,397,42.9,0.7,2289
3/1/73,0,7.6,31400,84.105,999,7,-0.07,4.9,270,43.3,0.93,2365
4/1/73,0,6.3,32800,90.441,955.1,7.38,-0.07,5,171,43.6,0.69,2084
