DATE,Housing_Starts
1/1/59,1657
2/1/59,1667
3/1/59,1620
4/1/59,1590
5/1/59,1498
6/1/59,1503
7/1/59,1547
8/1/59,1430
9/1/59,1540
10/1/59,1355
11/1/59,1416
12/1/59,1601
1/1/60,1460
2/1/60,1503
3/1/60,1109
4/1/60,1289
5/1/60,1271
6/1/60,1247
7/1/60,1197
8/1/60,1344
9/1/60,1097
10/1/60,1246
11/1/60,1246
12/1/60,1063
1/1/61,1183
2/1/61,1226
3/1/61,1312
4/1/61,1166
5/1/61,1228
6/1/61,1382
7/1/61,1335
8/1/61,1312
9/1/61,1429
10/1/61,1415
11/1/61,1385
12/1/61,1365
1/1/62,1361
2/1/62,1278
3/1/62,1443
4/1/62,1524
5/1/62,1483
6/1/62,1404
7/1/62,1450
8/1/62,1517
9/1/62,1324
10/1/62,1533
11/1/62,1622
12/1/62,1564
1/1/63,1244
2/1/63,1456
3/1/63,1534
4/1/63,1689
5/1/63,1641
6/1/63,1588
7/1/63,1614
8/1/63,1639
9/1/63,1763
10/1/63,1779
11/1/63,1622
12/1/63,1491
1/1/64,1603
2/1/64,1820
3/1/64,1517
4/1/64,1448
5/1/64,1467
6/1/64,1550
7/1/64,1562
8/1/64,1569
9/1/64,1455
10/1/64,1524
11/1/64,1486
12/1/64,1484
1/1/65,1361
2/1/65,1433
3/1/65,1423
4/1/65,1438
5/1/65,1478
6/1/65,1488
7/1/65,1529
8/1/65,1432
9/1/65,1482
10/1/65,1452
11/1/65,1460
12/1/65,1656
1/1/66,1370
2/1/66,1378
3/1/66,1394
4/1/66,1352
5/1/66,1265
6/1/66,1194
7/1/66,1086
8/1/66,1119
9/1/66,1046
10/1/66,843
11/1/66,961
12/1/66,990
1/1/67,1067
2/1/67,1123
3/1/67,1056
4/1/67,1091
5/1/67,1304
6/1/67,1248
7/1/67,1364
8/1/67,1407
9/1/67,1421
10/1/67,1491
11/1/67,1538
12/1/67,1308
1/1/68,1380
2/1/68,1520
3/1/68,1466
4/1/68,1554
5/1/68,1408
6/1/68,1405
7/1/68,1512
8/1/68,1495
9/1/68,1556
10/1/68,1569
11/1/68,1630
12/1/68,1548
1/1/69,1769
2/1/69,1705
3/1/69,1561
4/1/69,1524
5/1/69,1583
6/1/69,1528
7/1/69,1368
8/1/69,1358
9/1/69,1507
10/1/69,1381
11/1/69,1229
12/1/69,1327
1/1/70,1085
2/1/70,1305
3/1/70,1319
4/1/70,1264
5/1/70,1290
6/1/70,1385
7/1/70,1517
8/1/70,1399
9/1/70,1534
10/1/70,1580
11/1/70,1647
12/1/70,1893
1/1/71,1828
2/1/71,1741
3/1/71,1910
4/1/71,1986
5/1/71,2049
