Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1913,,0,0,0,-1.02,1.03,1.02,0,1.01,0,1,-0.99
1914,0,-1,0,-1.01,1.02,0,1.01,2,0,-0.98,0.99,-0.98
1915,0,-0.99,-1,1.01,1,0,0,0,0,0.99,0.98,0
1916,0.97,0,0.96,0.95,0.94,0.93,0,0.93,1.83,1.8,1.77,0.87
1917,0.86,2.56,0,5,1.59,1.56,-1.54,1.56,2.31,1.5,0,1.48
1918,2.19,0.71,-0.71,1.43,2.11,1.38,2.72,1.99,1.95,1.91,1.88,1.23
1919,0,-1.82,1.23,1.83,1.2,0,2.96,1.72,0.56,1.69,2.21,2.16
1920,2.12,1.04,1.03,3.05,1.48,1.46,-0.48,-2.4,-1.48,-0.5,-0.5,-2.02
1921,-2.06,-3.16,-0.54,-1.09,-2.21,-0.56,0.57,0,-1.13,0,-0.57,-0.57
1922,-2.31,0,-1.18,0,0,0,0.6,-1.19,0,0.6,0.6,0.6
1923,-0.59,0,0,0.6,0,0.59,1.18,-0.58,0.58,0.58,0,0
1924,0,-0.58,-0.58,-0.58,0,0,0.59,-0.58,0.59,0.58,0,0.58
1925,0,-0.58,0.58,-0.58,0.58,1.16,1.14,0,0,0,1.69,-0.56
1926,0,0,-0.56,0.56,-0.56,-0.56,-1.13,-0.57,0.57,0.57,0.57,0
1927,-1.13,-0.57,-0.57,0,0.58,1.15,-1.7,-0.58,0.58,0.58,-0.57,0
1928,0,-1.16,0,0,0.58,-0.58,0,0,1.17,-0.58,0,-0.58
1929,0,0,-0.58,-0.59,0.59,0.59,1.17,0,0,0,0,-0.58
1930,-0.58,-0.58,-0.59,0.59,-0.59,-0.59,-1.19,-0.6,0.61,-0.6,-0.61,-1.83
1931,-1.24,-1.26,-0.64,-0.64,-1.29,-1.31,0,0,-0.66,-0.67,-1.34,-0.68
1932,-2.05,-1.4,-0.71,-0.71,-1.44,-0.73,0,-0.74,-0.74,-0.75,-0.75,-0.76
1933,-1.53,-1.55,-0.79,0,0,0.79,3.15,0.76,0,0,0,0
1934,0,0.76,0,0,0,0.75,0,0,1.49,-0.74,0,-0.74
1935,1.49,0.74,0,0.73,0,-0.72,0,0,0,0,0.73,0
1936,0,0,-0.72,0,0,0.73,0.72,0.72,0,0,0,0
1937,0.71,0,0.71,0.7,0.7,0,0.69,0,0.69,0,-0.68,-0.69
1938,-1.39,-0.7,0,0.71,-0.7,0,0,0,0,-0.71,0,0
1939,0,-0.71,0,-0.72,0,0,0,0,2.17,-0.71,0,0
1940,-0.71,0.72,0,0,0,0.71,-0.71,0,0,0,0,0.71
1941,0,0,0.71,0.7,0.7,2.08,0,1.36,1.34,1.32,0.65,0.65
1942,1.29,0.64,1.27,0.63,1.24,0,0.61,0.61,0,1.21,0.6,0.6
1943,0,0,1.78,1.16,0.57,0,-0.57,-0.57,0.58,0,0,0
1944,0,0,0,0.57,0,0.57,0.57,0,0,0,0,0.56
1945,0,0,0,0,0.56,1.12,0,0,0,0,0,0.55
1946,0,-0.55,1.1,0.55,0.54,1.08,5.88,2.02,0.99,1.96,2.4,0.94
1947,0,0,1.86,0,0,0.46,0.91,1.35,2.22,0,0.43,1.3
1948,1.28,-0.84,-0.43,1.71,0.42,0.84,1.24,0.41,0,-0.41,-0.82,-0.41
1949,-0.41,-0.83,0,0.42,-0.42,0.42,-0.84,0.42,0.42,-0.84,0.42,-0.84
1950,-0.42,0,0.43,0,0.42,0.42,1.26,0.83,0.41,0.82,0.41,1.21
1951,1.6,1.18,0.39,0,0.39,0,0,0,0.77,0.38,0.76,0.38
1952,0,-0.75,0,0.38,0,0.38,0.75,0,0,0,0,0
1953,-0.37,-0.38,0.38,0,0.38,0.37,0,0.37,0,0.37,-0.37,0
1954,0,0,0,-0.37,0.37,0,0,0,-0.37,0,0,-0.37
1955,0,0,0,0,0,0,0.37,0,0.37,0,0,-0.37
1956,0,0,0,0.37,0.37,0.74,0.74,-0.36,0.37,0.36,0,0.36
1957,0,0.36,0.36,0.36,0.36,0.36,0.71,0,0,0,0.35,0
1958,0.7,0,0.7,0.35,0,0,0.35,-0.34,0,0,0.35,-0.34
