Date,Open,High,Low,Close,Adj Close,Volume
1962-01-01,3.880000,3.990000,3.860000,3.990000,3.990000,0
1962-02-01,4.000000,4.000000,3.770000,3.770000,3.770000,0
1962-03-01,3.710000,3.740000,3.580000,3.610000,3.610000,0
1962-04-01,3.580000,3.660000,3.510000,3.640000,3.640000,0
1962-05-01,3.630000,3.740000,3.600000,3.660000,3.660000,0
1962-06-01,3.640000,3.760000,3.570000,3.760000,3.760000,0
1962-07-01,3.770000,3.830000,3.760000,3.820000,3.820000,0
1962-08-01,3.800000,3.800000,3.660000,3.660000,3.660000,0
1962-09-01,3.670000,3.740000,3.660000,3.660000,3.660000,0
1962-10-01,3.640000,3.670000,3.600000,3.640000,3.640000,0
1962-11-01,3.630000,3.630000,3.570000,3.590000,3.590000,0
1962-12-01,3.600000,3.610000,3.500000,3.560000,3.560000,0
1963-01-01,3.530000,3.650000,3.530000,3.650000,3.650000,0
1963-02-01,3.660000,3.680000,3.640000,3.680000,3.680000,0
1963-03-01,3.670000,3.720000,3.670000,3.710000,3.710000,0
1963-04-01,3.700000,3.770000,3.700000,3.730000,3.730000,0
1963-05-01,3.720000,3.780000,3.680000,3.780000,3.780000,0
1963-06-01,3.810000,3.830000,3.790000,3.820000,3.820000,0
1963-07-01,3.820000,3.920000,3.820000,3.880000,3.880000,0
1963-08-01,3.870000,3.930000,3.860000,3.930000,3.930000,0
1963-09-01,3.940000,3.970000,3.940000,3.940000,3.940000,0
1963-10-01,3.930000,4.010000,3.930000,4.010000,4.010000,0
1963-11-01,4.010000,4.050000,3.980000,3.990000,3.990000,0
1963-12-01,4.010000,4.070000,4.010000,4.060000,4.060000,0
1964-01-01,4.070000,4.100000,4.030000,4.030000,4.030000,0
1964-02-01,4.020000,4.100000,4.010000,4.100000,4.100000,0
1964-03-01,4.100000,4.210000,4.100000,4.160000,4.160000,0
1964-04-01,4.170000,4.200000,4.130000,4.130000,4.130000,0
1964-05-01,4.120000,4.120000,4.010000,4.030000,4.030000,0
1964-06-01,4.030000,4.030000,4.000000,4.010000,4.010000,0
1964-07-01,4.010000,4.050000,4.000000,4.040000,4.040000,0
1964-08-01,4.040000,4.070000,4.040000,4.070000,4.070000,0
1964-09-01,4.080000,4.100000,4.040000,4.050000,4.050000,0
1964-10-01,4.050000,4.090000,4.040000,4.050000,4.050000,0
1964-11-01,4.040000,4.130000,3.990000,4.130000,4.130000,0
1964-12-01,4.130000,4.130000,4.060000,4.120000,4.120000,0
1965-01-01,4.120000,4.120000,4.080000,4.110000,4.110000,0
1965-02-01,4.120000,4.160000,4.120000,4.160000,4.160000,0
1965-03-01,4.160000,4.180000,4.120000,4.140000,4.140000,0
1965-04-01,4.140000,4.160000,4.130000,4.160000,4.160000,0
1965-05-01,4.160000,4.160000,4.140000,4.150000,4.150000,0
1965-06-01,4.150000,4.160000,4.130000,4.140000,4.140000,0
1965-07-01,4.150000,4.180000,4.140000,4.180000,4.180000,0
1965-08-01,4.180000,4.220000,4.180000,4.220000,4.220000,0
1965-09-01,4.230000,4.340000,4.220000,4.330000,4.330000,0
1965-10-01,4.340000,4.400000,4.300000,4.400000,4.400000,0
1965-11-01,4.430000,4.500000,4.430000,4.470000,4.470000,0
1965-12-01,4.520000,4.880000,4.510000,4.880000,4.880000,0
1966-01-01,4.880000,4.980000,4.770000,4.980000,4.980000,0
1966-02-01,4.940000,5.030000,4.940000,5.030000,5.030000,0
1966-03-01,5.020000,5.020000,4.810000,4.840000,4.840000,0
1966-04-01,4.810000,4.860000,4.760000,4.850000,4.850000,0
1966-05-01,4.860000,5.000000,4.820000,5.000000,5.000000,0
1966-06-01,5.020000,5.090000,4.880000,5.090000,5.090000,0
1966-07-01,5.110000,5.260000,5.080000,5.260000,5.260000,0
1966-08-01,5.260000,5.890000,5.250000,5.680000,5.680000,0
1966-09-01,5.630000,5.640000,5.250000,5.340000,5.340000,0
1966-10-01,5.370000,5.370000,5.220000,5.220000,5.220000,0
1966-11-01,5.260000,5.420000,5.260000,5.280000,5.280000,0
1966-12-01,5.250000,5.250000,4.760000,4.800000,4.800000,0
1967-01-01,4.840000,4.840000,4.600000,4.670000,4.670000,0
1967-02-01,4.680000,4.830000,4.650000,4.780000,4.780000,0
1967-03-01,4.700000,4.700000,4.420000,4.420000,4.420000,0
1967-04-01,4.420000,4.720000,4.380000,4.720000,4.720000,0
1967-05-01,4.700000,4.850000,4.680000,4.720000,4.720000,0
1967-06-01,4.720000,5.350000,4.720000,5.350000,5.350000,0
1967-07-01,5.360000,5.360000,5.120000,5.120000,5.120000,0
1967-08-01,5.180000,5.400000,5.180000,5.340000,5.340000,0
1967-09-01,5.320000,5.480000,5.280000,5.380000,5.380000,0
1967-10-01,5.430000,5.720000,5.430000,5.720000,5.720000,0
1967-11-01,5.760000,5.910000,5.650000,5.770000,5.770000,0
1967-12-01,5.820000,5.820000,5.660000,5.780000,5.780000,0
1968-01-01,5.680000,5.680000,5.420000,5.550000,5.550000,0
1968-02-01,5.600000,5.650000,5.490000,5.570000,5.570000,0
1968-03-01,5.570000,6.000000,5.570000,5.760000,5.760000,0
1968-04-01,5.640000,5.960000,5.430000,5.960000,5.960000,0
