FIPS,CountyNameGDP,GDP_Change_2012_2013,GDP_Change_2013_2014,GDP_Change_2014_2015,In GDP,CombinedCounty
15009,Maui,0.6,2.2,3.4,1,1
15005,Kalawao,0.6,2.2,3.4,1,1
51003,Albemarle,-0.4,2.2,2.1,1,1
51540,Charlottesville,-0.4,2.2,2.1,1,1
51005,Alleghany,5.5,-5,6.5,1,1
51580,Covington,5.5,-5,6.5,1,1
51015,Augusta,2.3,0.5,4,1,1
51790,Staunton,2.3,0.5,4,1,1
51820,Waynesboro,2.3,0.5,4,1,1
51031,Campbell,-1.4,-0.2,-0.3,1,1
51680,Lynchburg,-1.4,-0.2,-0.3,1,1
51035,Carroll,1,-0.4,1.6,1,1
51640,Galax,1,-0.4,1.6,1,1
51053,Dinwiddie,-0.5,-2.6,4,1,1
51570,Colonial Heights,-0.5,-2.6,4,1,1
51730,Petersburg,-0.5,-2.6,4,1,1
51059,Fairfax,0.1,0.6,1.4,1,1
51600,Fairfax City,0.1,0.6,1.4,1,1
51610,Falls Church,0.1,0.6,1.4,1,1
51069,Frederick,-3.1,-1.3,5,1,1
51840,Winchester,-3.1,-1.3,5,1,1
51081,Greensville,15,6.1,-2,1,1
51595,Emporia,15,6.1,-2,1,1
51089,Henry,-1,1.5,9,1,1
51690,Martinsville,-1,1.5,9,1,1
51095,James City,-2.8,-2.9,-1.3,1,1
51830,Williamsburg,-2.8,-2.9,-1.3,1,1
51121,Montgomery,5.8,4.8,6.1,1,1
51750,Radford,5.8,4.8,6.1,1,1
51143,Pittsylvania,-0.4,-2.8,-2.2,1,1
51590,Danville,-0.4,-2.8,-2.2,1,1
51149,Prince George,-1.7,-5.3,0.1,1,1
51670,Hopewell,-1.7,-5.3,0.1,1,1
51153,Prince William,1.2,2.3,0.5,1,1
51683,Manassas,1.2,2.3,0.5,1,1
51685,Manassas Park,1.2,2.3,0.5,1,1
51161,Roanoke County,2.8,0.9,2.3,1,1
51775,Salem,2.8,0.9,2.3,1,1
51163,Rockbridge,-6.9,-0.3,-0.8,1,1
51530,Buena Vista,-6.9,-0.3,-0.8,1,1
51678,Lexington,-6.9,-0.3,-0.8,1,1
51165,Rockingham,0.9,-3.8,-1.4,1,1
51660,Harrisonburg,0.9,-3.8,-1.4,1,1
51175,Southampton,-4.1,-1.2,2.9,1,1
51620,Franklin,-4.1,-1.2,2.9,1,1
51177,Spotsylvania,4.4,-0.4,6.1,1,1
51630,Fredericksburg,4.4,-0.4,6.1,1,1
51191,Washington,-6.9,-13.1,-2.4,1,1
51520,Bristol,-6.9,-13.1,-2.4,1,1
51195,Wise,-8.6,0.9,-3.5,1,1
51720,Norton,-8.6,0.9,-3.5,1,1
51199,York,-8.6,0.9,-3.5,1,1
51735,Poquoson,-8.6,0.9,-3.5,1,1
