Date,Open,High,Low,Close,Volume
1896-05-31,29.39,29.43,29.11,29.43,
1896-06-30,29.4,29.4,25.73,26.18,
1896-07-31,25.05,25.49,22.09,23.19,
1896-08-31,22.81,23.15,20.76,23.15,
1896-09-30,23.19,26.51,23.19,26.11,
1896-10-31,26.08,28.54,25.16,28.54,
1896-11-30,29.64,32.52,29.64,29.69,
1896-12-31,30.4,30.58,27.95,29.3,
1897-01-31,29.24,31.32,29.24,30.46,
1897-02-28,30.69,30.69,28.78,29.9,
1897-03-31,30.19,30.51,28.34,28.59,
1897-04-30,28.8,29.28,27.88,28.22,
1897-05-31,28.09,28.93,28.01,28.71,
1897-06-30,28.98,32.31,28.98,31.94,
1897-07-31,32.02,34.73,31.58,34.73,
1897-08-31,35.37,39.7,35.37,39.7,
1897-09-30,40.15,40.43,36.92,36.92,
1897-10-31,37.33,38.14,35.07,35.35,
1897-11-30,35.57,35.57,33.06,34.37,
1897-12-31,35.06,36.07,34.87,35.79,
1898-01-31,35.71,36.7,34.76,36.22,
1898-02-28,36.04,36.33,32.35,33.44,
1898-03-31,34.38,34.38,30.42,32.9,
1898-04-30,31.97,33.55,31.34,33.13,
1898-05-31,35.2,38.2,34.98,38.2,
1898-06-30,38.29,38.9,36.84,38.11,
1898-07-31,38.39,39.23,37.86,39.12,
1898-08-31,39.54,44.16,39.54,43.71,
1898-09-30,43.82,43.82,38.7,38.7,
1898-10-31,38.83,40.15,37.34,40.15,
1898-11-30,39.79,41.43,39.48,41.43,
1898-12-31,42.12,43.83,42.11,43.83,
1899-01-31,43.75,47.09,43.75,46.61,
1899-02-28,46.67,48.78,44.87,48.37,
1899-03-31,48.26,54.1,47.73,53.83,
1899-04-30,55.06,55.97,52.58,55.84,
1899-05-31,54.02,55.07,48.89,48.89,
1899-06-30,49.54,52.93,49.54,50.97,
1899-07-31,51.77,53.4,51.1,53.4,
1899-08-31,53.51,55.21,53.36,54.8,
1899-09-30,54.73,56.21,52.43,52.78,
1899-10-31,51.39,54.3,51.39,54.3,
1899-11-30,54.44,54.9,53.36,54.72,
1899-12-31,54.66,54.66,42.2,47.6,
1/31/00,49.34,49.34,45.82,47.89,
2/28/00,48.77,49.51,45.88,46.32,
3/31/00,46.05,47.36,44.26,47.36,
4/30/00,47.47,47.91,44.32,44.42,
5/31/00,44.41,44.41,41.01,42.8,
6/30/00,43.01,43.01,38.88,39.71,
7/31/00,40.18,42.75,40.18,41.14,
8/31/00,41.33,42.66,41.33,41.87,
