Median and Average Sales Prices of New Homes Sold in United States,,
Period,Median,Average
Jan-63,"$17,200 ",
Feb-63,"$17,700 ",
Mar-63,"$18,200 ",
Apr-63,"$18,200 ",
May-63,"$17,500 ",
Jun-63,"$18,000 ",
Jul-63,"$18,400 ",
Aug-63,"$17,800 ",
Sep-63,"$17,900 ",
Oct-63,"$17,600 ",
Nov-63,"$18,400 ",
Dec-63,"$18,700 ",
Jan-64,"$17,800 ",
Feb-64,"$18,000 ",
Mar-64,"$19,000 ",
Apr-64,"$18,800 ",
May-64,"$19,300 ",
Jun-64,"$18,800 ",
Jul-64,"$19,100 ",
Aug-64,"$18,900 ",
Sep-64,"$18,900 ",
Oct-64,"$18,900 ",
Nov-64,"$19,300 ",
Dec-64,"$21,000 ",
Jan-65,"$20,700 ",
Feb-65,"$20,400 ",
Mar-65,"$19,800 ",
Apr-65,"$19,900 ",
May-65,"$19,600 ",
Jun-65,"$19,800 ",
Jul-65,"$21,000 ",
Aug-65,"$20,200 ",
Sep-65,"$19,600 ",
Oct-65,"$19,900 ",
Nov-65,"$20,600 ",
Dec-65,"$20,300 ",
Jan-66,"$21,200 ",
Feb-66,"$20,900 ",
Mar-66,"$20,800 ",
Apr-66,"$23,000 ",
May-66,"$22,300 ",
Jun-66,"$21,200 ",
Jul-66,"$21,800 ",
Aug-66,"$20,700 ",
Sep-66,"$22,200 ",
Oct-66,"$20,800 ",
Nov-66,"$21,700 ",
Dec-66,"$21,700 ",
Jan-67,"$22,200 ",
Feb-67,"$22,400 ",
Mar-67,"$22,400 ",
Apr-67,"$22,300 ",
May-67,"$23,700 ",
Jun-67,"$23,900 ",
Jul-67,"$23,300 ",
Aug-67,"$21,700 ",
Sep-67,"$22,800 ",
Oct-67,"$22,300 ",
Nov-67,"$23,100 ",
Dec-67,"$22,200 ",
Jan-68,"$23,400 ",
Feb-68,"$23,500 ",
Mar-68,"$24,600 ",
Apr-68,"$24,500 ",
May-68,"$25,300 ",
Jun-68,"$25,400 ",
Jul-68,"$24,600 ",
Aug-68,"$25,000 ",
Sep-68,"$25,000 ",
Oct-68,"$25,600 ",
