"Series Description","Percent change of total consumer credit, seasonally adjusted at an annual rate","Percent change of total revolving consumer credit, seasonally adjusted at an annual rate","Percent change of total nonrevolving consumer credit, seasonally adjusted at an annual rate","Total consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Revolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Nonrevolving consumer credit owned and securitized, seasonally adjusted flow, monthly rate","Total consumer credit owned and securitized, seasonally adjusted level","Revolving consumer credit owned and securitized, seasonally adjusted level","Nonrevolving consumer credit owned and securitized, seasonally adjusted level"
"Unit:","Percent","Percent","Percent","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1","1","1","1000000","1000000","1000000","1000000","1000000","1000000"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","G19/CCOUT/DTCTL_@%A_BA.M","G19/CCOUT/DTCTLR_@%A_BA.M","G19/CCOUT/DTCTLN_@%A_BA.M","G19/CCOUT/DTCTL_XDF_BA.M","G19/CCOUT/DTCTLR_XDF_BA.M","G19/CCOUT/DTCTLN_XDF_BA.M","G19/CCOUT/DTCTL.M","G19/CCOUT/DTCTLR.M","G19/CCOUT/DTCTLN.M"
"Time Period","DTCTL_@%A_BA.M","DTCTLR_@%A_BA.M","DTCTLN_@%A_BA.M","DTCTL_XDF_BA.M","DTCTLR_XDF_BA.M","DTCTLN_XDF_BA.M","DTCTL.M","DTCTLR.M","DTCTLN.M"
1943-01,,,,,,,6577.83,,6577.83
1943-02,-20.94,,-20.94,-114.79,,-114.79,6463.04,,6463.04
1943-03,-42.49,,-42.49,-228.83,,-228.83,6234.21,,6234.21
1943-04,-20.88,,-20.88,-108.45,,-108.45,6125.75,,6125.75
1943-05,-37.12,,-37.12,-189.49,,-189.49,5936.26,,5936.26
1943-06,-23.05,,-23.05,-114.03,,-114.03,5822.23,,5822.23
1943-07,-21.41,,-21.41,-103.86,,-103.86,5718.37,,5718.37
1943-08,-16.71,,-16.71,-79.62,,-79.62,5638.75,,5638.75
1943-09,1.88,,1.88,8.83,,8.83,5647.59,,5647.59
1943-10,0.67,,0.67,3.15,,3.15,5650.74,,5650.74
1943-11,-15.69,,-15.69,-73.87,,-73.87,5576.87,,5576.87
1943-12,-24.60,,-24.60,-114.35,,-114.35,5462.52,,5462.52
1944-01,-14.05,,-14.05,-63.95,,-63.95,5398.57,,5398.57
1944-02,-9.83,,-9.83,-44.21,,-44.21,5354.36,,5354.36
1944-03,3.59,,3.59,16.00,,16.00,5370.36,,5370.36
1944-04,1.97,,1.97,8.82,,8.82,5379.18,,5379.18
1944-05,11.45,,11.45,51.32,,51.32,5430.50,,5430.50
1944-06,8.24,,8.24,37.29,,37.29,5467.79,,5467.79
1944-07,6.67,,6.67,30.41,,30.41,5498.20,,5498.20
1944-08,7.80,,7.80,35.75,,35.75,5533.96,,5533.96
1944-09,3.31,,3.31,15.27,,15.27,5549.23,,5549.23
1944-10,3.61,,3.61,16.71,,16.71,5565.93,,5565.93
1944-11,0.90,,0.90,4.16,,4.16,5570.10,,5570.10
1944-12,3.36,,3.36,15.59,,15.59,5585.69,,5585.69
1945-01,3.66,,3.66,17.04,,17.04,5602.73,,5602.73
1945-02,-6.19,,-6.19,-28.91,,-28.91,5573.81,,5573.81
