Date,Open,High,Low,Close,Adj Close,Volume
1960-01-01,4.520000,4.680000,3.920000,3.990000,3.990000,0
1960-02-01,4.000000,4.190000,3.550000,4.190000,4.190000,0
1960-03-01,4.090000,4.090000,2.680000,3.020000,3.020000,0
1960-04-01,2.840000,3.600000,2.720000,3.040000,3.040000,0
1960-05-01,3.030000,3.670000,3.030000,3.120000,3.120000,0
1960-06-01,3.060000,3.060000,2.140000,2.190000,2.190000,0
1960-07-01,2.050000,2.490000,2.050000,2.190000,2.190000,0
1960-08-01,2.100000,2.570000,2.100000,2.570000,2.570000,0
1960-09-01,2.580000,2.630000,2.300000,2.300000,2.300000,0
1960-10-01,2.310000,2.610000,2.070000,2.120000,2.120000,0
1960-11-01,2.250000,2.520000,2.200000,2.400000,2.400000,0
1960-12-01,2.330000,2.330000,2.160000,2.200000,2.200000,0
1961-01-01,2.300000,2.310000,2.150000,2.280000,2.280000,0
1961-02-01,2.350000,2.580000,2.280000,2.580000,2.580000,0
1961-03-01,2.600000,2.600000,2.240000,2.420000,2.420000,0
1961-04-01,2.400000,2.400000,2.180000,2.270000,2.270000,0
1961-05-01,2.270000,2.440000,2.180000,2.340000,2.340000,0
1961-06-01,2.370000,2.490000,2.240000,2.270000,2.270000,0
1961-07-01,2.300000,2.320000,2.160000,2.260000,2.260000,0
1961-08-01,2.250000,2.540000,2.250000,2.350000,2.350000,0
1961-09-01,2.350000,2.350000,2.230000,2.230000,2.230000,0
1961-10-01,2.240000,2.370000,2.240000,2.280000,2.280000,0
1961-11-01,2.280000,2.590000,2.270000,2.550000,2.550000,0
1961-12-01,2.530000,2.670000,2.530000,2.670000,2.670000,0
1962-01-01,2.700000,2.810000,2.660000,2.730000,2.730000,0
1962-02-01,2.690000,2.840000,2.660000,2.710000,2.710000,0
1962-03-01,2.680000,2.760000,2.680000,2.750000,2.750000,0
1962-04-01,2.740000,2.780000,2.700000,2.740000,2.740000,0
1962-05-01,2.740000,2.740000,2.630000,2.700000,2.700000,0
1962-06-01,2.690000,2.900000,2.640000,2.900000,2.900000,0
1962-07-01,2.920000,2.980000,2.860000,2.860000,2.860000,0
1962-08-01,2.870000,2.870000,2.780000,2.810000,2.810000,0
1962-09-01,2.830000,2.850000,2.740000,2.740000,2.740000,0
1962-10-01,2.730000,2.770000,2.690000,2.720000,2.720000,0
1962-11-01,2.720000,2.870000,2.720000,2.860000,2.860000,0
1962-12-01,2.860000,2.930000,2.820000,2.920000,2.920000,0
1963-01-01,2.880000,2.950000,2.860000,2.930000,2.930000,0
1963-02-01,2.940000,2.960000,2.870000,2.900000,2.900000,0
1963-03-01,2.900000,2.920000,2.860000,2.910000,2.910000,0
1963-04-01,2.900000,2.920000,2.880000,2.900000,2.900000,0
1963-05-01,2.900000,3.000000,2.890000,3.000000,3.000000,0
1963-06-01,3.030000,3.030000,2.970000,2.990000,2.990000,0
1963-07-01,3.000000,3.270000,3.000000,3.270000,3.270000,0
