date,median_house,gold_price,dow_open,gdp,fed_rate,13_wk,5_yr,10_yr,30_yr,unemployment,gas_price,earnings_chg,cpi,inflation,cars_sold,housing_starts,recession
Jan-63,17200.00,35.06,649.30,3.60,3.00,2.88,3.53,3.82,,5.70,,87.00,30.4,0.00,,1244.00,N
Feb-63,17700.00,35.08,652.10,3.60,3.00,2.94,3.66,3.88,,5.90,,115.00,30.4,0.00,,1456.00,N
Mar-63,18200.00,35.1,682.90,3.60,3.00,2.90,3.67,3.93,,5.70,,90.00,30.5,0.33,,1534.00,N
Apr-63,18200.00,35.1,662.90,3.80,3.00,2.90,3.70,3.95,,5.70,,260.00,30.5,0.00,,1689.00,N
May-63,17500.00,35.08,682.50,3.80,3.00,2.90,3.72,3.94,,5.90,,36.00,30.5,0.00,,1641.00,N
Jun-63,18000.00,35.08,717.70,3.80,3.00,3.03,3.81,3.98,,5.60,,43.00,30.6,0.33,,1588.00,N
Jul-63,18400.00,35.09,727.00,4.80,3.00,3.00,3.82,4.01,,5.60,,135.00,30.7,0.33,,1614.00,N
Aug-63,17800.00,35.1,706.90,4.80,3.50,3.25,3.87,3.99,,5.40,,116.00,30.7,0.00,,1639.00,N
Sep-63,17900.00,35.08,695.40,4.80,3.50,3.38,3.94,4.03,,5.50,,168.00,30.7,0.00,,1763.00,N
Oct-63,17600.00,35.08,729.30,5.20,3.50,3.37,3.93,4.07,,5.50,,205.00,30.8,0.33,,1779.00,N
Nov-63,18400.00,35.08,732.80,5.20,3.50,3.49,4.01,4.15,,5.70,,-28.00,30.8,0.00,,1622.00,N
Dec-63,18700.00,35.08,755.20,5.20,3.50,3.53,4.01,4.09,,5.50,,106.00,30.9,0.32,,1491.00,N
Jan-64,17800.00,35.08,750.50,6.20,3.25,3.53,4.07,4.14,,5.60,,126.00,30.9,0.00,,1603.00,N
Feb-64,18000.00,35.08,763.00,6.20,3.50,3.50,4.02,4.15,,5.40,,266.00,30.9,0.00,,1820.00,N
Mar-64,19000.00,35.08,785.30,6.20,3.50,3.58,4.10,4.17,,5.40,,144.00,30.9,0.00,,1517.00,N
Apr-64,18800.00,35.08,800.10,6.20,3.50,3.53,4.17,4.23,,5.30,,25.00,30.9,0.00,,1448.00,N
May-64,19300.00,35.08,813.30,6.20,3.50,3.46,4.12,4.22,,5.10,,167.00,30.9,0.00,,1467.00,N
Jun-64,18800.00,35.08,810.80,6.20,3.50,3.47,4.03,4.19,,5.20,,130.00,31,0.32,,1550.00,N
Jul-64,19100.00,35.08,820.60,5.50,3.50,3.48,4.01,4.15,,4.90,,193.00,31.1,0.32,,1562.00,N
Aug-64,18900.00,35.08,831.50,5.50,3.50,3.47,4.04,4.19,,5.00,,207.00,31,-0.32,,1569.00,N
Sep-64,18900.00,35.09,841.10,5.50,3.50,3.50,4.08,4.21,,5.10,,284.00,31.1,0.32,,1455.00,N
Oct-64,18900.00,35.11,838.50,5.20,3.50,3.55,4.05,4.18,,5.10,,-110.00,31.1,0.00,,1524.00,N
Nov-64,19300.00,35.1,875.40,5.20,3.50,3.55,4.04,4.15,,4.80,,425.00,31.2,0.32,,1486.00,N
Dec-64,21000.00,35.12,873.10,5.20,4.00,3.85,4.13,4.20,,5.00,,203.00,31.2,0.00,,1484.00,N
Jan-65,20700.00,35.13,875.40,5.50,4.00,3.81,4.12,4.20,,4.90,,161.00,31.2,0.00,,1361.00,N
Feb-65,20400.00,35.14,874.10,5.50,4.00,3.88,4.12,4.20,,5.10,,218.00,31.2,0.00,,1433.00,N
Mar-65,19800.00,35.16,902.90,5.50,4.00,3.97,4.16,4.22,,4.70,,203.00,31.3,0.32,,1423.00,N
Apr-65,19900.00,35.14,903.50,5.70,4.13,3.93,4.14,4.20,,4.80,,256.00,31.4,0.32,,1438.00,N
May-65,19600.00,35.1,889.10,5.70,4.13,3.90,4.16,4.21,,4.60,,232.00,31.4,0.00,,1478.00,N
Jun-65,19800.00,35.1,922.30,5.70,4.13,3.88,4.15,4.23,,4.60,,199.00,31.6,0.64,,1488.00,N
Jul-65,21000.00,35.12,918.00,6.30,4.13,3.82,4.15,4.20,,4.40,,275.00,31.6,0.00,,1529.00,N
Aug-65,20200.00,35.15,868.00,6.30,4.13,3.82,4.18,4.22,,4.40,,263.00,31.6,0.00,,1432.00,N
Sep-65,19600.00,35.14,881.70,6.30,3.75,3.89,4.23,4.28,,4.30,,262.00,31.6,0.00,,1482.00,N
Oct-65,19900.00,35.11,893.10,8.50,4.13,4.00,4.34,4.36,,4.20,,229.00,31.7,0.32,,1452.00,N
Nov-65,20600.00,35.11,930.60,8.50,4.13,4.07,4.43,4.43,,4.10,,277.00,31.7,0.00,,1460.00,N
Dec-65,20300.00,35.13,960.80,8.50,4.13,4.13,4.52,4.52,,4.00,,326.00,31.8,0.32,,1656.00,N
Jan-66,21200.00,35.15,946.70,8.50,4.63,4.51,4.88,4.63,,4.00,,207.00,31.8,0.00,,1370.00,N
Feb-66,20900.00,35.17,969.30,8.50,4.25,4.66,4.94,4.69,,3.80,,267.00,32,0.63,,1378.00,N
Mar-66,20800.00,35.15,983.50,8.50,4.63,4.65,5.02,5.01,,3.80,,396.00,32.1,0.31,,1394.00,N
