date,median_house,gold_price,dow_open,gdp,fed_rate,13_wk,5_yr,10_yr,30_yr,unemployment,gas_price,earnings_chg,cpi,inflation,cars_sold,housing_starts,recession
Jan-63,"$17,200 ",,649.3,3.6,3,2.88,3.53,3.82,,5.7,,87,,0,,1244,N
Feb-63,"$17,700 ",,652.1,3.6,3,2.94,3.66,3.88,,5.9,,115,,0,,1456,N
Mar-63,"$18,200 ",,682.9,3.6,3,2.9,3.67,3.93,,5.7,,90,,0.33,,1534,N
Apr-63,"$18,200 ",,662.9,3.8,3,2.9,3.7,3.95,,5.7,,260,,0,,1689,N
May-63,"$17,500 ",,682.5,3.8,3,2.9,3.72,3.94,,5.9,,36,,0,,1641,N
Jun-63,"$18,000 ",,717.7,3.8,3,3.03,3.81,3.98,,5.6,,43,,0.33,,1588,N
Jul-63,"$18,400 ",,727,4.8,3,3,3.82,4.01,,5.6,,135,,0.33,,1614,N
Aug-63,"$17,800 ",,706.9,4.8,3.5,3.25,3.87,3.99,,5.4,,116,,0,,1639,N
Sep-63,"$17,900 ",,695.4,4.8,3.5,3.38,3.94,4.03,,5.5,,168,,0,,1763,N
Oct-63,"$17,600 ",,729.3,5.2,3.5,3.37,3.93,4.07,,5.5,,205,,0.33,,1779,N
Nov-63,"$18,400 ",,732.8,5.2,3.5,3.49,4.01,4.15,,5.7,,-28,,0,,1622,N
Dec-63,"$18,700 ",,755.2,5.2,3.5,3.53,4.01,4.09,,5.5,,106,,0.32,,1491,N
Jan-64,"$17,800 ",,750.5,6.2,3.25,3.53,4.07,4.14,,5.6,,126,,0,,1603,N
Feb-64,"$18,000 ",,763,6.2,3.5,3.5,4.02,4.15,,5.4,,266,,0,,1820,N
Mar-64,"$19,000 ",,785.3,6.2,3.5,3.58,4.1,4.17,,5.4,,144,,0,,1517,N
Apr-64,"$18,800 ",,800.1,6.2,3.5,3.53,4.17,4.23,,5.3,,25,,0,,1448,N
May-64,"$19,300 ",,813.3,6.2,3.5,3.46,4.12,4.22,,5.1,,167,,0,,1467,N
Jun-64,"$18,800 ",,810.8,6.2,3.5,3.47,4.03,4.19,,5.2,,130,,0.32,,1550,N
Jul-64,"$19,100 ",,820.6,5.5,3.5,3.48,4.01,4.15,,4.9,,193,,0.32,,1562,N
Aug-64,"$18,900 ",,831.5,5.5,3.5,3.47,4.04,4.19,,5,,207,,-0.32,,1569,N
Sep-64,"$18,900 ",,841.1,5.5,3.5,3.5,4.08,4.21,,5.1,,284,,0.32,,1455,N
Oct-64,"$18,900 ",,838.5,5.2,3.5,3.55,4.05,4.18,,5.1,,-110,,0,,1524,N
Nov-64,"$19,300 ",,875.4,5.2,3.5,3.55,4.04,4.15,,4.8,,425,,0.32,,1486,N
Dec-64,"$21,000 ",,873.1,5.2,4,3.85,4.13,4.2,,5,,203,,0,,1484,N
Jan-65,"$20,700 ",,875.4,5.5,4,3.81,4.12,4.2,,4.9,,161,,0,,1361,N
Feb-65,"$20,400 ",,874.1,5.5,4,3.88,4.12,4.2,,5.1,,218,,0,,1433,N
Mar-65,"$19,800 ",,902.9,5.5,4,3.97,4.16,4.22,,4.7,,203,,0.32,,1423,N
Apr-65,"$19,900 ",,903.5,5.7,4.13,3.93,4.14,4.2,,4.8,,256,,0.32,,1438,N
May-65,"$19,600 ",,889.1,5.7,4.13,3.9,4.16,4.21,,4.6,,232,,0,,1478,N
Jun-65,"$19,800 ",,922.3,5.7,4.13,3.88,4.15,4.23,,4.6,,199,,0.64,,1488,N
Jul-65,"$21,000 ",,918,6.3,4.13,3.82,4.15,4.2,,4.4,,275,,0,,1529,N
Aug-65,"$20,200 ",,868,6.3,4.13,3.82,4.18,4.22,,4.4,,263,,0,,1432,N
Sep-65,"$19,600 ",,881.7,6.3,3.75,3.89,4.23,4.28,,4.3,,262,,0,,1482,N
Oct-65,"$19,900 ",,893.1,8.5,4.13,4,4.34,4.36,,4.2,,229,,0.32,,1452,N
Nov-65,"$20,600 ",,930.6,8.5,4.13,4.07,4.43,4.43,,4.1,,277,,0,,1460,N
Dec-65,"$20,300 ",,960.8,8.5,4.13,4.13,4.52,4.52,,4,,326,,0.32,,1656,N
Jan-66,"$21,200 ",,946.7,8.5,4.63,4.51,4.88,4.63,,4,,207,,0,,1370,N
Feb-66,"$20,900 ",,969.3,8.5,4.25,4.66,4.94,4.69,,3.8,,267,,0.63,,1378,N
